,title,address,price,features,link,availability,parking,agent,agency
0,"503/8 Wigan Street, Wellington Central, Wellington",,$520 per week,1 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/4330212692?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,"Available: Fri, 22 Sep",n/a, Rebekah Joyce ,Comprende Ltd
1,"65 Roseneath Terrace (upper), Roseneath, Wellington",,$850 per week,4 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/roseneath/listing/4330206937?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,"Available: Fri, 29 Sep",n/a, Rebekah Joyce ,Comprende Ltd
2,"12D/126 The Terrace, Wellington Central, Wellington",,$490 per week,1 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/4324094732?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,"Available: Fri, 20 Oct",n/a, Rebekah Joyce ,Comprende Ltd
3,"1602A/111 Dixon Street, Wellington Central, Wellington",,$440 per week,1 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/4323610848?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,"Available: Fri, 13 Oct",n/a, Rebekah Joyce ,Comprende Ltd
4,"207/169 The Terrace, Wellington Central, Wellington",,$330 per week,1 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/4323607890?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,Available: Now,n/a, Rebekah Joyce ,Comprende Ltd
5,"504/169 The Terrace, Wellington Central, Wellington",,$440 per week,1 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/4323575595?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,"Available: Fri, 29 Sep",n/a, Rebekah Joyce ,Comprende Ltd
6,"8 Koru Loop, Paraparaumu, Kapiti Coast",,$730 per week,3 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/kapiti-coast/paraparaumu/listing/4320859586?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,Available: Now,n/a, Rebekah Joyce ,Comprende Ltd
7,"5B/49 Manners Street, Wellington Central, Wellington",,$410 per week,1 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/4318993964?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,Available: Now,n/a," Rebekah Joyce
",Comprende Ltd
8,"702/74 Taranaki Street, Wellington Central, Wellington",,$650 per week,2 bedrooms. 2 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/4311133260?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,"Available: Fri, 6 Oct",n/a," Rebekah Joyce
",Comprende Ltd
9,"6B/6 Ferry Road, Days Bay, Lower Hutt",,$800 per week,3 bedrooms. 2 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/lower-hutt/days-bay/listing/4308177074?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,Available: Now,n/a," Rebekah Joyce
",Comprende Ltd
10,"606/15 Holland Street, Wellington Central, Wellington",,$645 per week,2 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/4308083822?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,"Available: Fri, 3 Nov",n/a," Rebekah Joyce
",Comprende Ltd
11,"2/71 Ellice Street, Mount Victoria, Wellington",,$860 per week,4 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/mount-victoria/listing/4308063067?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,"Available: Fri, 3 Nov",n/a," Rebekah Joyce
",Comprende Ltd
12,"1219/74 Taranaki Street, Wellington Central, Wellington",,$500 per week,1 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/4298730035?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,"Available: Fri, 29 Sep",n/a," Rebekah Joyce
",Comprende Ltd
13,"403/8 Wigan Street, Wellington Central, Wellington",,$530 per week,1 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/4292743382?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,Available: Now,n/a," Rebekah Joyce
",Comprende Ltd
14,"9/5 Hawker Street, Mount Victoria, Wellington",,$450 per week,1 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/mount-victoria/listing/4290858433?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,"Available: Fri, 22 Sep",n/a," Rebekah Joyce
",Comprende Ltd
15,"3B/49 Manners Street, Wellington Central, Wellington",,$430 per week,1 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/4285967482?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,"Available: Fri, 29 Sep",n/a," Rebekah Joyce
",Comprende Ltd
16,"304/8 Wigan Street, Wellington Central, Wellington",,$500 per week,1 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/4281992939?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,Available: Now,n/a," Rebekah Joyce
",Comprende Ltd
17,"8/101-107 Cuba Street, Wellington Central, Wellington",,$780 per week,3 bedrooms. 1 bathrooms.,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/4275044034?rsqid=ad4dc34d1ff64e23863bf92dfc888afe-001,Available: Now,n/a," Rebekah Joyce
",Comprende Ltd
